Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
1591,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.4,27.6,0.313,UAE18---_HETEVULG_23.4,25.48241,56.36623,NPNT-Lot,
987,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,666,UAE18666,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.8,28.7,0.315,UAE18666_HETEVULG_23.8,25.48209,56.36566,Vial,
1050,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.8,26.6,0.315,UAE18---_HETEVULG_21.8,25.48209,56.36566,NPNT-Lot,
1059,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.2,26.3,0.316,UAE18---_HETEVULG_22.2,25.48209,56.36566,NPNT-Lot,
746,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,544,UAE18544,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.1,27.9,0.318,UAE18544_HETEVULG_23.1,25.49257,56.36386,Vial,
846,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.1,24.6,0.318,UAE18---_HETEVULG_20.1,25.49257,56.36386,NPNT-Lot,mottled dorsal
856,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.5,25.1,0.318,UAE18---_HETEVULG_20.5,25.49257,56.36386,NPNT-Lot,mottled dorsal
394,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,28.3,0.319,UAE18---_HETEVULG_22.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
1071,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.1,26.9,0.32,UAE18---_HETEVULG_22.1,25.48209,56.36566,NPNT-Lot,
1062,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.6,26.9,0.321,UAE18---_HETEVULG_22.6,25.48209,56.36566,NPNT-Lot,
333,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,333,UAE18333,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23,29,0.323,UAE18333_HETEVULG_23,25.48247,56.36955,Vial,
393,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,28.3,0.324,UAE18---_HETEVULG_22.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
1548,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.5,27,0.324,UAE18---_HETEVULG_22.5,25.48241,56.36623,NPNT-Lot,
857,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.6,25,0.328,UAE18---_HETEVULG_20.6,25.49257,56.36386,NPNT-Lot,mottled dorsal
1096,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.3,28.1,0.328,UAE18---_HETEVULG_23.3,25.48209,56.36566,NPNT-Lot,
1335,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.1,26.7,0.328,UAE18---_HETEVULG_22.1,25.60254,56.35142,NPNT-Lot,
