Location,Species,SL,TL,W
GO,ENNEVENT,19.8,23.4,0.132
GO,ENNEVENT,17.2,21,0.096
GO,ENNEVENT,18.5,21.4,0.11
GO,ENNEVENT,19.7,23.1,0.14
GO,ENNEVENT,18.5,21.6,0.13
GO,ENNEVENT,18.1,21.7,0.123
GO,ENNEVENT,19.4,23.3,0.131
GO,ENNEVENT,18.1,21.5,0.11
GO,ENNEVENT,17.7,21.3,0.102
GO,ENNEVENT,17.4,21.1,0.1
GO,ENNEVENT,18.8,22.6,0.121
GO,ENNEVENT,16.9,20.1,0.081
GO,ENNEVENT,17.6,21.4,0.105
GO,ENNEVENT,20,23.5,0.15
GO,ENNEVENT,17.9,21.4,0.101
GO,ENNEVENT,16.4,20.3,0.084
GO,ENNEVENT,18.5,21.8,0.116
GO,ENNEVENT,18,21.3,0.111
GO,ENNEVENT,18.1,21.4,0.121
GO,ENNEVENT,17.8,21.1,0.103
GO,ENNEVENT,17.1,20.4,0.106
GO,ENNEVENT,17.6,21.2,0.111
GO,ENNEVENT,17.7,21.7,0.107
GO,ENNEVENT,18.8,22,0.113
GO,ENNEVENT,18.4,22.2,0.126
GO,ENNEVENT,18.6,22,0.096
GO,ENNEVENT,17.8,21.4,0.108
GO,ENNEVENT,18.5,22.2,0.129
GO,ENNEVENT,17.3,20.9,0.104
GO,ENNEVENT,18.5,22.1,0.111
GO,ENNEVENT,16.4,19.9,0.086
GO,ENNEVENT,17.7,22.1,0.111
GO,ENNEVENT,16.3,19.4,0.075
GO,ENNEVENT,18.4,21.9,0.114
GO,ENNEVENT,17.6,19.9,0.095
GO,ENNEVENT,18.1,21.4,0.101
GO,ENNEVENT,17.7,21.3,0.093
GO,ENNEVENT,17.4,20.7,0.099
GO,ENNEVENT,16.6,20.2,0.087
GO,ENNEVENT,16.3,20,0.095
GO,ENNEVENT,17.5,21.2,0.104
GO,ENNEVENT,18,21.5,0.125
GO,ENNEVENT,18.8,22.6,0.131
GO,ENNEVENT,19.3,22.9,0.112
GO,ENNEVENT,19.3,22.4,0.104
GO,ENNEVENT,18.2,21.2,0.091
GO,ENNEVENT,18.1,21.4,0.09
GO,ENNEVENT,17.3,20.6,0.105
GO,ENNEVENT,18,21.2,0.138
GO,ENNEVENT,19.6,23.3,0.093
GO,ENNEVENT,17.6,21.3,0.066
GO,ENNEVENT,15.9,18.8,0.077
GO,ENNEVENT,18.6,22.4,0.119
GO,ENNEVENT,19,22.6,0.119
GO,ENNEVENT,17.9,21.2,0.089
GO,ENNEVENT,25,30.9,0.313
GO,ENNEVENT,17.4,21.4,0.11
GO,ENNEVENT,19.7,23.4,0.158
GO,ENNEVENT,16.6,20.6,0.102
GO,ENNEVENT,15.9,19.7,0.08
GO,ENNEVENT,15.7,19.4,0.085
GO,ENNEVENT,17.9,22.3,0.116
GO,ENNEVENT,17.1,19.9,0.09
GO,ENNEVENT,18,21.8,0.143
GO,ENNEVENT,18.4,21.7,0.114
GO,ENNEVENT,16.5,19.8,0.084
GO,ENNEVENT,18.6,22.6,0.126
GO,ENNEVENT,17.8,21.5,0.121
GO,ENNEVENT,18.6,22.7,0.122
GO,ENNEVENT,18.6,22.4,0.131
GO,ENNEVENT,16.2,19.6,0.078
GO,ENNEVENT,19.1,22.3,0.134
GO,ENNEVENT,18.9,22.9,0.135
GO,ENNEVENT,17.9,21.5,0.093
GO,ENNEVENT,19.6,24.4,0.16
GO,ENNEVENT,18.8,21.4,0.115
GO,ENNEVENT,18.5,21.8,0.127
GO,ENNEVENT,19.5,23.4,0.155
GO,ENNEVENT,17.6,21.3,0.111
GO,ENNEVENT,18.6,22.6,0.124
GO,ENNEVENT,17.6,20.4,0.106
GO,ENNEVENT,19.4,23.1,0.154
GO,ENNEVENT,18.4,21.6,0.111
GO,ENNEVENT,18.6,23.1,0.139
GO,ENNEVENT,16.7,19.1,0.093
GO,ENNEVENT,18.1,20.5,0.111
GO,ENNEVENT,17.4,21.3,0.113
GO,ENNEVENT,18.6,22.4,0.118
GO,ENNEVENT,17.4,21.4,0.115
GO,ENNEVENT,16.2,19.9,0.093
GO,ENNEVENT,17.6,21,0.096
GO,ENNEVENT,18.1,21.2,0.105
GO,ENNEVENT,16.6,19.8,0.095
GO,ENNEVENT,18.3,21.2,0.112
GO,ENNEVENT,16.6,18.9,0.082
GO,ENNEVENT,19.2,22.5,0.129
GO,ENNEVENT,18.6,21.9,0.135
GO,ENNEVENT,19.9,24.9,0.17
GO,ENNEVENT,16.7,20,0.095
GO,ENNEVENT,16.9,21.3,0.09
GO,ENNEVENT,19,23.4,0.154
GO,ENNEVENT,20.7,24.7,0.182
GO,ENNEVENT,18.7,21.7,0.13
GO,ENNEVENT,22.5,26.8,0.234
GO,ENNEVENT,17.6,22.1,0.135
GO,ENNEVENT,17.3,21,0.116
GO,ENNEVENT,18,21,0.111
GO,ENNEVENT,16.4,19.8,0.112
GO,ENNEVENT,12,14.8,0.043
GO,ENNEVENT,17.4,20.2,0.123
GO,ENNEVENT,17.1,19.8,0.116
GO,ENNEVENT,15.1,18.1,0.08
GO,ENNEVENT,15.6,18.7,0.09
GO,ENNEVENT,17.3,20.3,0.1
GO,ENNEVENT,17,19.9,0.113
GO,ENNEVENT,18.1,21,0.159
GO,ENNEVENT,17.7,20.3,0.113
GO,ENNEVENT,17.1,20,0.111
GO,ENNEVENT,16.1,18.3,0.084
GO,ENNEVENT,19.9,24.2,0.172
GO,ENNEVENT,16.2,19.3,0.08
GO,ENNEVENT,19.5,22.6,0.149
GO,ENNEVENT,18.5,21.8,0.119
GO,ENNEVENT,17.9,21,0.134
GO,ENNEVENT,18.5,21.3,0.145
GO,ENNEVENT,18.8,21.8,0.134
GO,ENNEVENT,17.7,20.7,0.115
GO,ENNEVENT,15.6,19,0.092
GO,ENNEVENT,21.3,24.7,0.193
GO,ENNEVENT,17.8,20.5,0.116
GO,ENNEVENT,17.6,20.4,0.105
GO,ENNEVENT,15.3,18.5,0.077
GO,ENNEVENT,18.6,21.2,0.122
GO,ENNEVENT,19.6,22.9,0.166
GO,ENNEVENT,21.8,25.7,0.193
GO,ENNEVENT,18.5,21.8,0.112
GO,ENNEVENT,17.5,20.9,0.113
GO,ENNEVENT,20,23.3,0.182
GO,ENNEVENT,18.8,22.3,0.122
GO,ENNEVENT,20.7,24.1,0.178
GO,ENNEVENT,18.1,20.9,0.133
GO,ENNEVENT,16.4,18.8,0.088
GO,ENNEVENT,19.9,23.2,0.155
GO,ENNEVENT,16.4,18.6,0.083
GO,ENNEVENT,18.1,20.4,0.109
GO,ENNEVENT,16.6,19.5,0.089
GO,ENNEVENT,17.6,20.1,0.116
GO,ENNEVENT,17.5,20.7,0.113
GO,ENNEVENT,16.9,19.1,0.089
GO,ENNEVENT,17.5,20.1,0.114
GO,ENNEVENT,18.3,21.9,0.104
GO,ENNEVENT,18.8,21.9,0.118
GO,ENNEVENT,16.7,19.4,0.082
GO,ENNEVENT,17,20.2,0.094
GO,ENNEVENT,19.6,24.1,0.136
GO,ENNEVENT,21.8,24.3,0.178
GO,ENNEVENT,19.7,23.3,0.139
GO,ENNEVENT,18.9,23.4,0.157
GO,ENNEVENT,17.9,21.3,0.113
GO,ENNEVENT,18.3,22.5,0.154
GO,ENNEVENT,17.8,21.4,0.125
GO,ENNEVENT,19.3,22.9,0.137
GO,ENNEVENT,20.3,23.6,0.174
GO,ENNEVENT,16.6,20.7,0.091
GO,ENNEVENT,17.3,19.1,0.099
GO,ENNEVENT,19.5,23.1,0.161
GO,ENNEVENT,17.8,20.4,0.094
GO,ENNEVENT,18.2,21.3,0.097
GO,ENNEVENT,18.3,21.8,0.112
GO,ENNEVENT,18.4,22.3,0.131
GO,ENNEVENT,17.3,20.9,0.118
GO,ENNEVENT,18.2,21.6,0.124
GO,ENNEVENT,17.9,21.8,0.125
GO,ENNEVENT,18.7,23,0.119
GO,ENNEVENT,17.8,22,0.11
GO,ENNEVENT,18.4,22.3,0.136
GO,ENNEVENT,18.4,22.3,0.142
GO,ENNEVENT,19.7,23,0.155
GO,ENNEVENT,17.6,21.1,0.134
GO,ENNEVENT,18.1,21.2,0.122
GO,ENNEVENT,17.9,21.1,0.156
GO,ENNEVENT,19.9,22.8,0.134
GO,ENNEVENT,18.9,23.2,0.172
GO,ENNEVENT,21.2,25.6,0.202
GO,ENNEVENT,18.6,22.7,0.149
GO,ENNEVENT,16.9,21.9,0.111
GO,ENNEVENT,17.6,20.8,0.101
GO,ENNEVENT,17.3,21.1,0.099
GO,ENNEVENT,17.9,20.8,0.093
GO,ENNEVENT,18.2,22.4,0.132
GO,ENNEVENT,14.3,17.5,0.061
GO,ENNEVENT,18.9,23.5,0.166
GO,ENNEVENT,16.4,19.3,0.086
GO,ENNEVENT,17.9,21.3,0.138
GO,ENNEVENT,16.7,20.5,0.116
GO,ENNEVENT,18.9,23,0.14
GO,ENNEVENT,16.8,20.5,0.09
GO,ENNEVENT,18.3,21.8,0.105
GO,ENNEVENT,17.9,21.3,0.107
GO,ENNEVENT,18.3,22.3,0.123
GO,ENNEVENT,16.8,19.9,0.1
GO,ENNEVENT,19,22.5,0.132
GO,ENNEVENT,15.7,19,0.085
GO,ENNEVENT,18.1,21.4,0.137
GO,ENNEVENT,14.7,17.6,0.078
GO,ENNEVENT,17.2,20.3,0.114
GO,ENNEVENT,16.3,19,0.091
GO,ENNEVENT,16.7,19,0.117
GO,ENNEVENT,16.1,19.6,0.089
GO,ENNEVENT,17,19.9,0.1
GO,ENNEVENT,16.7,20,0.102
GO,ENNEVENT,18,21.8,0.14
GO,ENNEVENT,17.5,20.6,0.121
GO,ENNEVENT,17.3,20.8,0.119
GO,ENNEVENT,16.7,19.8,0.102
GO,ENNEVENT,16.7,19.6,0.124
